name,state,method,model_family,scenario,seed,target_component,target_depth,AA,BWT,AF,FWT,trainable_params,total_params,mean_time_per_task_s,peak_gpu_mem_mb,target
cil_wildreceipt_er_seed7,finished,er,layoutlmv3,cil_wildreceipt,7,,,19.998766732637417,-79.25391622551926,79.25391622551926,-85.18800858594388,125364657,125364657,714.5363711969694,27142.83544921875,
cil_wildreceipt_ewc_seed123,finished,ewc,layoutlmv3,cil_wildreceipt,123,,,2.0547945205479454,-72.27653463785084,72.27653463785084,-85.18800858594388,125364657,125364657,653.4609837249154,20385.822265625,
cil_wildreceipt_ewc_seed42,finished,ewc,layoutlmv3,cil_wildreceipt,42,,,8.53107436869666,-60.470136164970604,60.470136164970604,-85.18800858594388,125364657,125364657,495.7490558542777,20385.822265625,
cil_wildreceipt_ewc_seed7,finished,ewc,layoutlmv3,cil_wildreceipt,7,,,7.107109045927481,-61.44199714210967,61.44199714210967,-85.18800858594388,125364657,125364657,461.8346886037616,20385.822265625,
cil_wildreceipt_joint_seed123,finished,joint,layoutlmv3,cil_wildreceipt,123,,,33.505277794444154,0.0,-0.0,,125364657,125364657,710.3038391550072,19429.419921875,
cil_wildreceipt_joint_seed42,finished,joint,layoutlmv3,cil_wildreceipt,42,,,34.09604711101456,0.0,-0.0,,125364657,125364657,1089.7243868033402,19429.419921875,
cil_wildreceipt_joint_seed7,finished,joint,layoutlmv3,cil_wildreceipt,7,,,34.07255216057626,0.0,-0.0,,125364657,125364657,871.4267654833384,19429.419921875,
cil_wildreceipt_l2p_seed123,finished,l2p,layoutlmv3,cil_wildreceipt,123,,,10.25506638714186,-7.118599637818824,7.118599637818824,-84.65554986161781,83761,125364657,1101.6466543854913,16845.1240234375,
cil_wildreceipt_l2p_seed42,finished,l2p,layoutlmv3,cil_wildreceipt,42,,,10.13536966331135,-6.787507000580998,6.787507000580998,-84.57807056724442,83761,125364657,1203.4191620742204,16845.1240234375,
cil_wildreceipt_l2p_seed7,finished,l2p,layoutlmv3,cil_wildreceipt,7,,,10.737790093522687,-5.132399418331221,5.132399418331221,-84.54485396524694,83761,125364657,1211.8947065753164,16845.1240234375,
cil_wildreceipt_lwf_seed123,finished,lwf,layoutlmv3,cil_wildreceipt,123,,,20.84436598999706,-84.99455107388856,84.99455107388856,-85.18800858594388,125364657,125364657,725.2692224407801,20892.2548828125,
cil_wildreceipt_lwf_seed42,finished,lwf,layoutlmv3,cil_wildreceipt,42,,,20.865102639296186,-85.64344207766766,85.64344207766766,-85.18800858594388,125364657,125364657,866.455296821543,20892.2548828125,
cil_wildreceipt_lwf_seed7,finished,lwf,layoutlmv3,cil_wildreceipt,7,,,20.750812887969257,-85.15778276361804,85.15778276361804,-85.18800858594388,125364657,125364657,758.4922637275886,20892.2548828125,
cil_wildreceipt_naive_seed123,finished,naive,layoutlmv3,cil_wildreceipt,123,,,20.720047804003585,-83.51574323419877,83.51574323419877,-85.18800858594388,125364657,125364657,1173.7147613969992,10533.04736328125,
cil_wildreceipt_naive_seed123_bert,finished,bert_textonly,bert,cil_wildreceipt,123,,,18.200349446709378,-76.65080427169381,76.65080427169381,-85.18800858594388,108929329,108929329,411.3681177274557,6240.04150390625,
cil_wildreceipt_naive_seed42,finished,naive,layoutlmv3,cil_wildreceipt,42,,,20.789865871833086,-85.1981480791723,85.1981480791723,-85.18800858594388,125364657,125364657,1086.932666847999,10533.04736328125,
cil_wildreceipt_naive_seed42_bert,finished,bert_textonly,bert,cil_wildreceipt,42,,,17.766960754487375,-76.11653331361579,76.11653331361579,-85.18800858594388,108929329,108929329,339.7476484377403,6240.04150390625,
cil_wildreceipt_naive_seed7,finished,naive,layoutlmv3,cil_wildreceipt,7,,,20.793234179060953,-84.81430867760339,84.81430867760339,-85.18800858594388,125364657,125364657,1438.2545251847496,10533.04736328125,
cil_wildreceipt_naive_seed7_bert,finished,bert_textonly,bert,cil_wildreceipt,7,,,17.796357121528814,-76.66392366574605,76.66392366574605,-85.18800858594388,108929329,108929329,413.4961308744969,6240.04150390625,
cil_wildreceipt_o_lora_seed123,finished,o_lora,layoutlmv3,cil_wildreceipt,123,,,14.876165969765195,-74.76216739343249,74.76216739343249,-85.18800858594388,480049,125807025,1542.6490839609978,3652.4072265625,
cil_wildreceipt_o_lora_seed42,finished,o_lora,layoutlmv3,cil_wildreceipt,42,,,15.405244338498214,-74.94420660272185,74.94420660272185,-85.18800858594388,480049,125807025,1903.1439423047486,3652.4072265625,
